NAME,PRICE,DISCOUNT,RATING,REVIEWS,FEATURES
UrbanMark Men 100% Cotton Half Sleeves Regular Fit Solid Polo T Shirt-Light Blue,384,52% OFF,4.3,463 Ratings,"UrbanMark, Fabric:Cotton, Color:Blue, Pattern:Solid, Fit:Regular Fit, Pack:Pack of 1, Sleeves Length:Half Sleeves, Pattern Coverage:All Over, Number of Pocket:No Pocket, Pattern or Print Type:Solid, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., Product Length:Regular, Wash Care:Hand Wash, Season:Summer, BIS/ISI License number:NA, BIS/ISI required:NA, SUPC: SDL016379518"
ADORATE - Coral Cotton Regular Fit Men's Polo T Shirt ( Pack of 1 ),314,79% OFF,4.2,754 Ratings,"ADORATE, Fabric:Cotton, Color:Coral, Pattern:Embroidered, Fit:Regular Fit, Pack:Pack of 1, Sleeves Length:Half Sleeves, Pattern Coverage:Placement, Number of Pocket:No Pocket, Pattern or Print Type:Typography, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., Product Length:Regular, Weave Type:Knitted, Wash Care:Machine wash, Season:Summer, BIS/ISI License number:NA, BIS/ISI required:NA, SUPC: SDL565969059"
ADORATE - Lavender Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),314,79% OFF,4.0,661 Ratings,"ADORATE, Fabric:Cotton Blend, Color:Lavender, Pattern:Embroidered, Fit:Regular Fit, Pack:Pack of 1, Sleeves Length:Half Sleeves, Pattern Coverage:Placement, Number of Pocket:No Pocket, Pattern or Print Type:Typography, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., Product Length:Regular, Weave Type:Knitted, Wash Care:Machine wash, Season:Summer, BIS/ISI License number:NA, BIS/ISI required:NA, SUPC: SDL951925872"
ADORATE - Turquoise Cotton Regular Fit Men's Polo T Shirt ( Pack of 1 ),314,79% OFF,4.0,144 Ratings,"ADORATE, Fabric:Cotton, Color:Coral, Pattern:Printed, Fit:Regular Fit, Pack:Pack of 1, Sleeves Length:Half Sleeves, Pattern Coverage:All Over, Number of Pocket:No Pocket, Pattern or Print Type:Ethnic, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., Product Length:Regular, Weave Type:Knitted, Wash Care:Machine wash, Season:Summer, BIS/ISI License number:NA, BIS/ISI required:NA, SUPC: SDL020882877"
MXN - Pink Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),346,83% OFF,4.1,58 Ratings,"MXN, Fabric:Cotton Blend, Color:Grey, Pattern:Printed, Fit:Regular Fit, Pack:Pack of 1, Sleeves Length:Half Sleeves, Pattern Coverage:All Over, Number of Pocket:No Pocket, Pattern or Print Type:Floral, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., Product Length:Regular, Weave Type:Knitted, Wash Care:Hand Wash, Season:Summer, SUPC: SDL156999201"
UrbanMark Mens Regular Fit Round Neck Full Sleeves Colorblock T Shirt -Beige & Grey,384,52% OFF,4.0,3 Ratings,"UrbanMark, Fabric:Cotton Blend, Color:Beige, Pattern:Colorblock, Fit:Regular Fit, Hemline:Straight, Pack:Pack of 1, Neck Shape:Round, Pattern Coverage:Chest, Product Length:Regular, Weave Type:Knitted, Closure:Pullover, Wash Care:Hand Wash, Number of Pocket:No Pocket, Sleeves Length:Full Sleeves, Pattern or Print Type:Colorblock, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., BIS/ISI License number:NA, BIS/ISI required:NA, Fabric Composition:52%Polyester48% Cotton, SUPC: SDL359235872"
BULLMER - Mustard Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),412,90% OFF,4.6,24 Ratings,"BULLMER, Fabric:Cotton Blend, Color:Mustard, Pattern:Printed, Fit:Regular Fit, Pack:Pack of 1, Neck Shape:Round, Pattern Coverage:Chest, Product Length:Regular, Closure:Pullover, Sleeve styling:Regular, Wash Care:Hand Wash, Number of Pocket:No Pocket, Sleeves Length:Full Sleeves, Pattern or Print Type:Graphic, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL151758351"
Veirdo - Multicolor Cotton Oversized Fit Men's T-Shirt ( Pack of 1 ),419,65% OFF,4.5,22 Ratings,"Veirdo, Fabric:Cotton, Color:Multi, Pattern:Printed, Fit:Oversized Fit, Pack:Pack of 1, Neck Shape:Round, Pattern Coverage:All Over, Product Length:Long, Closure:Pullover, Wash Care:Hand Wash, Character:Avengers, Number of Pocket:No Pocket, Season:Summer, Shop By Occasion:Casual, Sleeves Length:Half Sleeves, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL684582951"
BULLMER - Olive Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),412,90% OFF,4.5,35 Ratings,"BULLMER, Fabric:Cotton Blend, Color:Olive, Pattern:Printed, Fit:Regular Fit, Pack:Pack of 1, Neck Shape:Round, Pattern Coverage:Chest, Product Length:Regular, Closure:Pullover, Sleeve styling:Regular, Wash Care:Hand Wash, Number of Pocket:No Pocket, Sleeves Length:Full Sleeves, Pattern or Print Type:Graphic, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL870887253"
BULLMER - Sea Green Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),437,56% OFF,4.4,91 Ratings,"BULLMER, Color: Sea Green, Fit: Regular Fit, Pattern: Colorblock, Pattern or Print Type: Colorblock, Sleeves Length: Half Sleeves, Wash Care: Machine Wash, Fabric: Cotton Blend, Pack: Pack of 1, Shop By Occasion: Casual, Product LengthRegular, Pattern Coverage: Full Front, Season: Summer, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL726784140"
Veirdo - Purple Cotton Regular Fit Men's T-Shirt ( Pack of 1 ),356,70% OFF,4.3,68 Ratings,"Veirdo, Fabric:Cotton, Color:Purple, Pattern:Printed, Fit:Regular Fit, Pack:Pack of 1, GSM (gram per square meter for fabric):180, Neck Shape:Round, Pattern Coverage:Back, Product Length:Regular, Closure:Pullover, Wash Care:Machine Wash, Season:Summer, Shop By Occasion:Casual, Sleeves Length:Half Sleeves, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL691718439"
AUSK Cotton Blend Regular Fit Solid Half Sleeves Men's T-Shirt - Black ( Pack of 1 ),210,86% OFF,4.2,240 Ratings,"AUSK, Fabric:Cotton Blend, Color:Black, Pattern:Solid, Fit:Regular Fit, Hemline:Straight, Pack:Pack of 1, Neck Shape:Mandarin Collar, Pattern Coverage:All Over, Product Length:Regular, Weave Type:Knitted, Closure:Button, Wash Care:Machine Wash, Number of Pocket:1, Sleeves Length:Half Sleeves, Pattern or Print Type:Solid, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL178738651"
Leotude - Black Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),370,77% OFF,4.2,705 Ratings,"Leotude, Fabric:Cotton Blend, Color:Black, Pattern:Colorblock, Fit:Regular Fit, Pack:Pack of 1, Sleeves Length:Half Sleeves, Pattern Coverage:Full Front, Number of Pocket:No Pocket, Pattern or Print Type:Colorblock, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., Product Length:Regular, Wash Care:Machine wash, Season:Summer, SUPC: SDL867560893"
Leotude - Grey Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),370,77% OFF,4.2,705 Ratings,"Leotude, Fabric:Cotton Blend, Color:Black, Pattern:Colorblock, Fit:Regular Fit, Pack:Pack of 1, Sleeves Length:Half Sleeves, Pattern Coverage:Full Front, Number of Pocket:No Pocket, Pattern or Print Type:Colorblock, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., Product Length:Regular, Wash Care:Machine wash, Season:Summer, SUPC: SDL088331060"
